transaction_id,timestamp,amount,currency,sender_account_id,receiver_account_id,sender_customer_id,receiver_customer_id,transaction_type,sender_country,receiver_country
1,2025-06-04T08:32:11,89290.85,INR,ACC1005,ACC1079,CUST024,CUST028,payment,China,India
2,2025-06-05T20:54:25,53829.7,INR,ACC1093,ACC1043,CUST029,CUST007,transfer,India,India
3,2025-06-05T14:54:32,23855.51,INR,ACC1098,ACC1016,CUST026,CUST031,payment,India,India
4,2025-06-04T22:51:56,39973.17,INR,ACC1031,ACC1027,CUST007,CUST017,payment,India,India
5,2025-06-06T05:57:49,1208.21,INR,ACC1001,ACC1054,CUST007,CUST009,payment,India,India
6,2025-06-05T16:14:35,60380.08,INR,ACC1016,ACC1059,CUST031,CUST012,withdrawal,India,India
7,2025-06-05T09:53:39,38746.41,INR,ACC1002,ACC1043,CUST049,CUST007,transfer,India,India
8,2025-06-01T15:00:07,9069.27,INR,ACC1088,ACC1065,CUST040,CUST027,transfer,India,India
9,2025-06-05T07:34:59,43667.64,INR,ACC1039,ACC1048,CUST039,CUST025,withdrawal,India,Nigeria
10,2025-06-04T18:18:57,10105.31,INR,ACC1031,ACC1074,CUST007,CUST048,deposit,India,India
11,2025-06-02T15:49:47,14174.99,INR,ACC1076,ACC1034,CUST010,CUST001,deposit,India,India
12,2025-06-06T08:36:59,11978.8,INR,ACC1080,ACC1027,CUST048,CUST017,transfer,India,India
13,2025-06-02T09:10:00,445.26,INR,ACC1028,ACC1050,CUST005,CUST003,payment,Nigeria,India
14,2025-06-07T13:29:47,57334.36,INR,ACC1090,ACC1007,CUST030,CUST015,payment,India,India
15,2025-06-01T14:34:47,15322.95,INR,ACC1025,ACC1033,CUST037,CUST001,payment,India,India
16,2025-06-06T04:52:38,64153.09,INR,ACC1038,ACC1048,CUST006,CUST025,transfer,India,Nigeria
17,2025-06-04T20:40:54,21796.29,INR,ACC1091,ACC1048,CUST039,CUST025,deposit,India,Nigeria
18,2025-06-02T05:30:28,46362.59,INR,ACC1034,ACC1031,CUST001,CUST007,withdrawal,India,India
19,2025-06-03T07:54:54,4193.04,INR,ACC1019,ACC1054,CUST041,CUST009,deposit,India,India
